七宝浮圖塔 高峰頂上安 眾人皆仰望 莫作等閑看
改變前途去 月桂又逢圓 雲中乘祿至 凡事可宜先
自幼常為旅 逢春駿馬驕 前程宜進步 得箭降青霄
有魚臨旱池 跳躍入波濤 隔中須有望 先且慮塵勞
事忌樽前語 人防小輩交 幸乞陰公祐 方免事敵爻
志氣勤修業 祿位未造逢 若聞金雞語 乘船得便風
雞逐鳳同飛 高林整羽儀 棹舟須濟岸 寶貨滿船歸
霧罩重樓屋 佳人水上行 白雲歸去路 不見月波澄
欲理新絲亂 閑愁足是非 只困羅網裡 相見幾人悲
紅日當門照 暗月再重圓 遇珍須得寶 頗有稱心田
祿走白雲間 攜琴走遠山 不遇神仙面 空惹意闌珊
